,,,,,,,,,,,,,,,,,,
,世,名,字,号/称,职业,朝代,省,故乡,代,生,,卒,,墓位,妻,子,子名,
有熊氏,,少典,,,,三皇,,,,,,,,,附宝,,,
有熊氏,,姬轩辕,,黄帝,,五帝,,郑州市（新郑）,,,(2697),,(2599),,,,,
,,姬玄嚣、赢鸷,,青阳,五方天帝之一，东夷部落首领,五帝,四川,绵阳（江水）,,,,,,,,,,
,1,张挥,玉爵,天禄,弓矢的发明者,五帝,河北,濮阳及清河,,,,,,帝丘（今河南省濮阳市濮阳县）,,子二,张昧、张般,
,2,张昧,,若,帝颛顼时玄冥司水正,五帝,山西,太原市（尹城）,,,,,,,,子二,张允格、张台骀,
,3,张台骀,,,帝颛顼时玄冥司水正,五帝,山西,太原市（尹城）,,,,,,,,子一,张伊源,
,4,张伊源,,须,帝喾时为玄冥司水正，升茂州侯,五帝,山西,太原市（尹城）,,,,,,,,子四,张汉、张侯、张筒竹、张突美,
,5,张侯,,,尧时为大夫，升幽州侯,五帝,,,,,,,,,,子三,张长若、张立芳、张敬积,
,6,张立方,,师,尧时为大夫,五帝,,,,,,,,,,子二,张乾、张坤,
,7,张坤,,,尧时为大夫,五帝,,,,,,,,,,子一,张敦吾,
,8,张敦吾,,阳,尧时作黉门秀士，舜时为大夫,五帝,,,,,,,,,,子一,张郊,
,9,张郊,,,舜时司火正,五帝,,,,,,,,,,子一,张重熙、张作元,
,10,张重熙,,,舜时司火正,五帝,,,,,,,,,,子一,张吴光、张仲疑、张叔启,
,11,张吴光,,,舜时为大夫,五帝,,,,,,,,,,子一,张天杰,
,12,张天杰,,,佐禹平水有功，为四岳诸侯之长,夏朝,,,,,,,,,,子一,张钦若、张选、张盛、张明,
,13,张钦若,,,与众诸侯会夏禹于涂山，受典则迁防山,夏朝,,,,,,,,,,子二,张嘉学（桃）、张嘉奇（榆）、张嘉腾、张嘉发、张嘉伟,
,14,张榆,,,,夏朝,,,,,,,,,,子二,张临、张卧,
,15,张临,,,为仲康大夫,夏朝,,,,,,,,,,子一,张临（明契）、张卧（升逢）,
,16,张宜,,,为帝相大夫,夏朝,,,,,,,,,,子一,张阳,
,17,张阳,,,为帝相大夫,夏朝,,,,,,,,,,子一,张安,
,18,张安,,,为过王大夫,夏朝,,,,,,,,,,子一,张考,
,19,张考,,,为少康大夫,夏朝,,,,,,,,,,子一,张承,
廿,20,张承,,,为帝槐大夫,夏朝,,,,,,,,,,子二,张喾、张誉,
,21,张嚳,,,为帝芒大夫,夏朝,,,,,,,,,,子三,张珑、张琦、张珍,
,22,张琦,,,为帝芒大夫,夏朝,,,,,,,,,,子一,张契、张希,
,23,张希,,,为帝扃大夫,夏朝,,,,,,,,,,子一,张燧,
,24,张燧,,,为帝廑（扃）时大夫,夏朝,,,,,,,,,,子一,张秦,
,25,张秦,,,帝孔甲的大夫,夏朝,,,,,,,,,,子一,张仲叔（还）、张仲奏,
,26,张还,仲叔,,夏末帝发为大夫,夏朝,,,,,,,,,,子一,张纯、张济,
,27,张纯,,,为商朝开国之主商汤的大夫,商朝,,,,,,,,,,子一,张质,
,28,张质,明颖,,,商朝,,,,,,,,,,子二,张厢、张康,
,29,张康,孙伦,,商太康大夫,商朝,,,,,,,,,,子一,张启,
卅,30,张启,丁盛,,商太康大夫,商朝,,,,,,,,,,子一,张立,
,31,张立,子吕,,商小甲大夫,商朝,,,,,,,,,,子一,张瑰,
,32,张瑰,先克,,商雍已大夫,商朝,,,,,,,,,,子一,张秩、张佐例,
,33,张秣,引和,,商雍已大夫,商朝,,,,,,,,,,子一,张庭,
,34,张庭,振生,,,商朝,,,,,,,,,,子一,张颢,
,35,张颢,瑞昌,,,商朝,,,,,,,,,,子一,张洙、张珍、张玉,
,36,张洙,善氏,,商祖丁大夫,商朝,,,,,,,,,,子一,张攸逊、张逸,
,37,张逸,书康,,商祖辛大夫,商朝,,,,,,,,,,子一,张都,
,38,张都,元和,,,商朝,,,,,,,,,,子一,张助,
,39,张助,归生,,,商朝,,,,,,,,,,子一,张顺乙（须）、张顺天,
,40,张须,顺乙,,,商朝,,,,,,,,,,子一,张圆,
,41,张圆,,,,商朝,,,,,,,,,,子一,张辛肖（肃）、张光侵,
,42,张肃,辛肖,,,商朝,,,,,,,,,,子一,张昶,
,43,张昶,成良,,,商朝,,,,,,,,,,子一,张浚、张启,
,44,张浚,受丁,,为武丁（小乙）时的将军,商朝,,,,,,,,,,子一,张惠,
,45,张惠,郁正,,为祖甲时司马,商朝,,,,,,,,,,子一,张谊,
,46,张谊,仲交,,商康丁为豫州牧,商朝,,,,,,,,,,子一,张稳、张贤,
,47,张稳,季甲,,为武乙（太丁）时太史,商朝,,,,,,,,,,子一,张元、张威,
,48,张元,永先,,为帝乙时大夫,商朝,,,,,,,,,,子二,张政、张奎,
,49,张政,攸成,,为西周武王大夫,西周,,,,,,,,,,子一,张炳,
,50,张炳,卿能,,为西周武王大夫,西周,,,,,,,,,,子二,张辰、张振,
,51,张辰,拱斗,,为周康王先锋,西周,,,,,,,,,,子一,张本,
,52,张本,太照,,为周昭王大夫,西周,,,,,,,,,,子三,张燥、张灼、张焰,
,53,张灼,,,,西周,,,,,,,,,,子一,张兖,
,54,张兖,史锡,,为周穆王大夫,西周,,,,,,,,,,子一,张灵、张伟,
,55,张灵,仁瑞,,为周夷王大夫,西周,,,,,,,,,,子一,张宏,
,56,张宏,广泰,,为周厉王大夫,西周,,,,,,,,,,子二,张道、张绅,
,57,张道,无忌,,为周厉王大夫,西周,四川,剑州府梓潼县,,,,,,,,子一,张仲、张允思,
,58,张仲,广明,仲甫,为周宣王时的卿土，被封为文昌帝君,西周,四川,剑州府梓潼县,,,(841),,,,,子二,张逸、张众,
,59,张逸,然明,,为周宣王官大夫,西周,,,,,,,,,,子一,张伯谦,
,60,张伯谦,守姜,,活动于宣王、幽王时期,西周,,,,,,,,,,子一,张信明,
,61,张信明,左吉,,活动于幽王、平王时期,春秋,,,,,,,,,,子二,张实、张贵,
,62,张实,成厚,,活动于平王时期,春秋,,,,,,,,,,子一,张禹臣、张君臣,
,63,张禹臣,洪颂,,为周釐王司徒,春秋,山东,曲阜,,,,,,,,子一,张元驭,
,64,张元驭,卓茂,,为周顷王大夫,春秋,,,,,,,,,,子一,张熙,
,65,张熙,正先,,活动于周桓王、周庄王时期,春秋,,,,,,,,,,子一,张元淑,
,66,张元淑,义方,,晋武公时大夫,春秋,,,,,,,,,,子一,张奉义,
,67,张奉义,万成,,晋献公时大夫,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张高陵,
,68,张高陵,,,活动于周惠王、周襄王时期，晋大夫,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张宣武,
,69,张宣武,策,,活动于周襄王时期，晋大夫,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张侯,
,70,张侯,仪昭,,周项王、周定王时为晋国大夫,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张老,
,71,张老,高龄,,活动于周简王时期，晋大夫，中军司马,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张君臣、张善勋,
,72,张君臣,有量,,活动于周灵王时期，晋大夫，中军司马,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张趯,
,73,张趯,阜成,,活动于周景王时期，晋大夫,春秋,,,,,,,,,,子三,张骼、张髓、张体,
,74,张骼,让义,,活动于周景王、周敬王时期，晋大夫,春秋,,,,,,,,,,子二,张进明、张权,
,75,张进明,去疾,,战国初期周慎靓王时赵国大夫,战国,,,,,,,,,,子一,张孟谈,
,76,张孟谈,国师,,为赵谋臣，其后仕韩,战国,河南,新乡市（开封）延津县,,,,,,,,子三,张正朔、张柳朔、张望朔,
,77,张柳朔,,,晋范氏家臣，其后由晋徙齐，齐徙赵，再赵徙韩，为韩国世卿,战国,河南,新乡市（开封）延津县,,,,,,,,子一,张开地,
,78,张开地,正明,,战国韩相,战国,河南,新乡市（开封）延津县,,,,,,,,子二,张平（天佑）、张厌（天佐）,
,79,张平,天佑,友量,战国韩相,战国,河南,新乡市（开封）延津县,,,,,,,,子二,张良、张胜,
x,80,张良,子房,,留侯,战国,河南,郑州市（新郑）,一世,,(250),,(186),敕葬咸阳谷城山下，谥文成,,子二,张不疑、张辟疆,
,81,张不疑,,,仕汉高皇帝，为大夫,西汉,河南,郑州市（新郑）,二世,,,,,,,子二,张典、张高,
,82,张典,,,清河太守,西汉,河南,郑州市（新郑）,三世,,,,,,,子三,张默、张黔、张然、张鹿,
,83,张默,,,,西汉,河南,郑州市（新郑）,四世,,,,,,,子一,张金,
,84,张金,,,,西汉,河南,郑州市（新郑）,五世,,,,,,,子一,张乘公；名韆鞦；號萬雅,
,85,张乘,,,,西汉,河南,郑州市（新郑）,六世,,,,,,,子三,张嵩、 张京、张文敬,
,86,张嵩,,,,西汉,河南,郑州市（新郑）,七世,,,,,,,子五,张壯、张纘、张彭、张睦、张述,
,87,张壮,少雄,,,东汉,四川,彭山县 （武阳）,一世,,,,,,,子一,张胤,
,88,张胤,少华,,东汉官员,东汉,四川,彭山县 （武阳）,二世,,,,,,,子一,张皓,
,89,张皓,叔明,,东汉司空,东汉,四川,彭山县 （武阳）,三世,,,,,,,子二,张宇、张綱,
,90,张宁,,,,东汉,河北,固安县 （方城）,一世,,,,,,,子一,张逊,
,91,张逊,,,,东汉,河北,固安县 （方城）,二世,,,,,,,子一,张孟成,
,92,张孟成,,,,东汉,河北,固安县 （方城）,三世,,,,,,,子一,张平,
,93,张平,,,在曹魏官至渔阳郡太守,三国,河北,固安县 （方城）,四世,,,,,,,子二,张英、张華,
,94,张华,,,西晋司空,西晋,河北,固安县 （方城）,五世,,232,,300,河北徐水县城西的张华村东,刘氏,子二,张祎、张韙,
,95,张祎,,,散骑常侍,西晋,河北,固安县 （方城）,六世,,,,,,,子一,张舆,与张华同时遇害
,96,张舆,,,官至丞相司马睿掾属、太子舍人,东晋,河北,固安县 （方城）,七世,,,,,,,子一,张次惠,
,97,张次惠,,,刘宋时官至濮阳太守,东晋,河北,固安县 （方城）,八世,,,,,,,子三,张穆之、张安之、张玄之,
,98,张安之,,,,南朝,湖北,襄阳,一世,,,,,,,子三,张宏胄、张宏策、张宏興,
,99,张宏策,,,,南朝,湖北,襄阳,二世,,,,502,,,子五,张纟丕、张緬、张綰、张絢、张纘,
,100,张缅,,,,南朝,湖北,襄阳,三世,,,,,,,子三,张芬、张傳、张佚,
,101,张传,,,,南朝,湖北,襄阳,四世,,,,,,,子一,张守礼,
,102,张守礼,,,隆為宋順帝的太常卿,南朝,湖北,襄阳,五世,,,,,,,子一,张君政,
,103,张君政,,,隋朝的涂山令，韶州别驾,隋朝,广东,韶关市（曲江）,一世,,,,681,,,子六,张子胄、张子虔、张子卿、张子衝、张子譽、张子猷,
,104,张子胄,,,窦州录事参军,唐朝,广东,韶关市（曲江）,二世,,,,,,,子四,张弘智、张弘藏、张弘毅、张弘癒,
,105,张弘愈,宗振,,新州索卢县丞,唐朝,广东,韶关市（曲江）,三世,,,,,,,子四,张九章、张九賓、张九皋、张九齡,
,106,张九龄,子寿,,宰相,唐朝,广东,韶关市（曲江）,四世,,678,,740,,,子二,张拯、张挺,
,107,张拯,,,右赞善大夫,唐朝,,,五世,,,,,,,子三,张國器、张藏器、张英器,
,108,张藏器,,,河南府寿安尉、长水丞,唐朝,,,六世,,,,,,,子一,张敦庆,
,109,张敦庆,,,袁州司仓参军,唐朝,,,七世,,,,,,,,子张景新；次子张景重字隸英[名又作;张棣英]；長子[狀元]张隸實[名又作;张棣實]；三子张隸華[名又作;张棣華]；四子张隸文[名又作;张棣文]；六子张景僖；七子张景禮,
,110,张景重,,,唐进士官，洪州都督府参军，卜居吉州城西,唐朝,,,八世,,,,,葬吉州吉婆,,子二,张焴、张爟,
,111,张焴,,,归善令,唐朝,,,九世,,,,,,,子一,张廷杰,
,112,张廷杰,,,岭南观察推官,唐朝,,,十世,,767,,840,,,子五,张涉 [字宏澗] ；张淪[字宏澤]；张沼[字宏淵]；张洪[张宏海]；张渥[字宏深] ,
,113,张涉,,,,北宋,,,十一世,,,,,,,子六,张璲、张璀、张效、张象、张希、张載,
,114,张載,子厚,,北宋思想家、教育家、理学创始人之一,北宋,,凤翔郿县（今陕西眉县横渠镇）,十二世,,1020,,1077,,,子三,张景昌、张日茂、张錫元,
,115,张景昌,,,,北宋,,,十三世,,,,,,,子一,张端,
,116,张端,臣楷,,诰授宝鸡太守,北宋,,汀州宁化石壁都葛藤凹开基,十四世,,,,,,,子三,张仲祥、张孟祥、张邦欽,
,117,张仲祥,,,,北宋,,上杭县,十五世,,,,,,,子三,张賓國、张仕國、张悅國,
,118,张宾国,,,,南宋,,,十六世,,,,,,,子二,张揚德、张楊行,
,119,张扬德,,,南宋河北太守,南宋,,,十七世,,,,,,,子三,张化龍、张化風、张化孫,
,120,张化孙,传万,,考取进士，诰授中宪大夫，后受朝廷委派“作牧汀州”任汀州知府,南宋,福州,,十八世,,1175,,1267,,,子十八,张吉雲、张慶雲、张禎雲、张祥雲、张集雲、张從雲、张龍雲、张福雲、张自雲、张綿雲、张景雲、张星雲、张卿雲、张帝雲、张闕雲、张倬雲、张彼雲、张定雲,
,121,张祥云,瑞庭,四郎、十六郎,,南宋,,,十九世,,1209,,1281,,,,张騰先（字定元，號念一郎）[(张騰福（字殿元，號念二郎）、张騰韆（字叔元，號念三郎）、张騰林（字沐元，號念四郎）、张騰壽（字載元，號念五郎）、张騰輝（字仲元，號念六郎）、张騰萬（字兆元，號念七郎)],
,122,张騰輝,,,,南宋,,,二十世,,,,,,,,张希上、张惟仁（明上）、张金上、张惟義（昭上）、张惟禮（曦上）、张惟信（映上）张曜上、张惟全（晶上）、张惟忠（旺上）、张惟孝、张惟廉、张惟節,
,123,张惟義,,,,南宋,,,二十一世,,,,,,,,张昊民、张昊清、张昊國、张昊長、张昊漸、张韆四、张昊民,
,124,张昊漸,,,,南宋,,,二十二世,,,,,,,,张敏承、张斐承、张文承、张譽承、张煥承,
,125,张敏承,,,,元朝,,,二十三世,,,,,,,,张先傳、张先伊、张先儀、张先彿、张先俸、张先倫、张先偉、张先任,
,126,张先俸,,,,元朝,,,二十四世,,,,,,,子六,张定绍、张克绍、张清绍、张远绍、张球绍、张君绍,
,127,张君紹,,,,元朝,,,二十五世,,,,,,,,张啟通、张啟遠、张啟達、张啟先、张啟光、张啟源、张啟明、张啟盛,
,128,张启光,贯祥,七八郎,,元朝,福建,安溪蓬莱岭美村,一世,,1366,,1396,,,,,
,129,张直福,,,,明朝,福建,安溪蓬莱岭美村,二世,,,,,,,子四,张全明、张次全、张全书、张四全,
,130,张全书,,,,明朝,福建,安溪蓬莱岭美村,三世,,1463,,1564,,,子三,张乾政、张次乾、张瑞溢,
,131,张乾政,,,,明朝,福建,安溪蓬莱岭美村,四世,,1514,,1577,,,子三,张朝渊、张朝深、张朝启,
,132,张朝深,,,,明朝,福建,安溪蓬莱岭美村,五世,,1548,,1607,,,子二,张大器、张大长,
,133,张大长,,,,明朝,福建,安溪蓬莱岭美村,六世,,1577,,1646,,,子一,张日荐,
,134,张日荐,,,,明朝,福建,安溪蓬莱岭美村,七世,,1620,,1693,,,子一,张奇月,
,135,张奇月,,,,清朝,福建,安溪蓬莱岭美村,八世,,1659,,1733,,,子五,张肇动、张肇云、张肇录、张肇晓、张肇琰,
,136,张肇录,,,,清朝,福建,安溪蓬莱岭美村,九世,,1695,,1754,,,子六,张志昆、张志造、张志霜、张志监、张志绒、张志北,
,137,张志昆,,,,清朝,福建,安溪蓬莱岭美村,十世,,1724,,1783,,,子五,张元低、张元低、张元低、张元彭、张元华,
,138,张元彭,,,,清朝,福建,安溪蓬莱岭美村,十一世,,1775,,1852,,,子二,张锺買、张锺苑,
,139,张锺買,,,,清朝,福建,安溪蓬莱岭美村,十二世,,1821,,1862,,,子四,张洵絺、张洵叩、张洵先知、张洵道,
,140,张洵絺,,,,清朝,福建,安溪蓬莱岭美村,十三世,,1850,,1907,,,子五,张金水、张金清、张金章、张金桓、张金沐,
,141,张金桓,,,,民国,福建,安溪蓬莱岭美村,十四世,,1899,,1974,安溪蓬莱岭美村,苏,子七,张汉国、张汉英、张汉琪、张汉宗、张汉进、张汉强、张汉业,
,142,张汉英,,,,共和国,新加坡,新加坡,十五世,,1930,,,,林美英,子二,张明昆、张明顺,
,143,张明顺,,,,共和国,新加坡,新加坡,十六世,,1964,,,,高丽美,子二,张伟扬、张伟韩,
,144,张伟扬,,,,共和国,新加坡,新加坡,十七世,x,1996,x,x,x,,,,